run_name,method,selected_for_method,seed,learning_rate,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,checkpoint_best_val_loss,target_sparsity,selected_count,total_eligible,selection_sparsity,eligible_zeros,eligible_nonzeros,eligible_sparsity,whole_model_zeros,whole_model_nonzeros,whole_model_sparsity,attention_sparsity,mlp_sparsity,validation_loss,perplexity
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.6873776471173322,0.7063111199273003,5.435593152046204,229.4288941418363
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.7856369018554688,0.8071816055862991,11.783110818862916,131020.72802474756
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.8889485111942997,0.9055257726598669,16.687509994506836,17672317.576199595
dense-lr6e-4-seed0,dense,yes,0,0.0006,,,,,,2.33629219532,0.95,10085990,10616832,0.9499999623239777,10085990,530842,0.9499999623239777,10085990,3681562,0.7325913858905345,0.9426105640552662,0.9536946614583334,17.497446689605713,39723229.0679363
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.0,0,10616832,0.0,0,10616832,0.0,0,13767552,0.0,0.0,0.0,2.6356205987930297,13.95196835168751
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.3,3185050,10616832,0.3000000376760224,3185050,7431782,0.3000000376760224,3185050,10582502,0.23134468640467093,0.2864037972909433,0.3067981578685619,2.635619339942932,13.951950788261845
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.5,5308416,10616832,0.5,5308416,5308416,0.5,5308416,8459136,0.3855744289180822,0.4933576230649595,0.5033211884675203,2.6356202960014343,13.951964127149393
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.7,7431782,10616832,0.6999999623239777,7431782,3185050,0.6999999623239777,7431782,6335770,0.5398041714314934,0.7627173529730903,0.6686412669994213,2.63713574886322,13.973123700231621
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.8,8493466,10616832,0.8000000376760223,8493466,2123366,0.8000000376760223,8493466,5274086,0.6169191153227531,0.846827471697772,0.7765863206651475,2.68743216753006,14.693895971726272
l1-a1e-5-lr6e-4-seed0,l1,no,0,0.0006,1e-05,,,,,2.62718083382,0.9,9555149,10616832,0.9000000188380112,9555149,1061683,0.9000000188380112,9555149,4212403,0.6940339865794587,0.9279248272931134,0.88603761461046,4.850250573158264,127.77240216949744
